iterations,x,time,fitness
3210,0.65,0.0051545389999922975,789.0
3220,0.65,0.005169791999991347,789.0
3230,0.65,0.005185552999991572,789.0
3240,0.65,0.005200577999993072,789.0
3250,0.65,0.0052157019999938825,789.0
3260,0.65,0.005230829999993247,789.0
3270,0.65,0.005248044999994761,789.0
3280,0.65,0.005263638999995379,789.0
3290,0.65,0.005279116999995281,789.0
3300,0.65,0.005294842999996163,789.0
3310,0.65,0.005310029999995081,789.0
3320,0.65,0.005325427999993693,789.0
3330,0.65,0.005341295999993889,789.0
3340,0.65,0.005357449999994657,791.0
3350,0.65,0.005373032999994365,791.0
3360,0.65,0.005389875999993521,791.0
3370,0.65,0.005405524999993361,791.0
3380,0.65,0.00542074199999476,791.0
3390,0.65,0.0054358619999952396,793.0
3400,0.65,0.005452783999995603,795.0
3410,0.65,0.0054681199999961905,795.0
3420,0.65,0.005483556999996253,795.0
3430,0.65,0.005498182999996715,795.0
3440,0.65,0.005513809999996511,795.0
3450,0.65,0.005529247999996656,795.0
3460,0.65,0.0055454929999978475,797.0
3470,0.65,0.0055609319999980755,797.0
3480,0.65,0.00557634199999768,797.0
3490,0.65,0.005594456999997277,797.0
3500,0.65,0.0056113929999970225,797.0
3510,0.65,0.005626502999998451,799.0
3520,0.65,0.00564471599999905,799.0
3530,0.65,0.005660067999999185,799.0
3540,0.65,0.005676511999999079,799.0
3550,0.65,0.005692741999999029,799.0
3560,0.65,0.0057082589999986055,799.0
3570,0.65,0.005724226999998194,799.0
3580,0.65,0.005740309999998416,799.0
3590,0.65,0.005755627999997515,799.0
3600,0.65,0.005771138999998371,799.0
3610,0.65,0.005786849999998012,799.0
3620,0.65,0.005801909999997079,801.0
3630,0.65,0.005817045999997106,801.0
3640,0.65,0.00583430599999879,801.0
3650,0.65,0.005849522999998413,801.0
3660,0.65,0.0058653689999967895,801.0
3670,0.65,0.0058812939999981495,801.0
3680,0.65,0.005896427999998011,801.0
3690,0.65,0.005912026999999043,801.0
3700,0.65,0.005927911999998869,801.0
3710,0.65,0.005944782000000259,803.0
3720,0.65,0.0059607009999993465,803.0
3730,0.65,0.005976654999999553,803.0
3740,0.65,0.005991654000000679,803.0
3750,0.65,0.006006844999999927,803.0
3760,0.65,0.006022315000000944,805.0
3770,0.65,0.0060396060000016405,805.0
3780,0.65,0.006055438000000635,805.0
3790,0.65,0.006070430000001181,805.0
3800,0.65,0.006086595000001083,805.0
3810,0.65,0.00610222600000121,805.0
3820,0.65,0.00611738400000128,805.0
3830,0.65,0.006133135000002454,805.0
3840,0.65,0.006148419000002292,807.0
3850,0.65,0.0061638270000017314,807.0
3860,0.65,0.006179907000001705,807.0
3870,0.65,0.006195572000002869,807.0
3880,0.65,0.0062112450000029185,809.0
3890,0.65,0.006228577000003455,809.0
3900,0.65,0.006244328000002852,809.0
3910,0.65,0.006259410000001964,809.0
