iterations,fevals,time,fitness
2600,16807,0.005281649999999444,807.0
2610,16808,0.005297326999999463,807.0
2620,16809,0.005312681999999458,807.0
2630,16810,0.005328355999999451,807.0
2640,16811,0.005344746999999428,807.0
2650,16812,0.005360740999999447,807.0
2660,16813,0.005377188999999422,807.0
2670,16814,0.005392553999999439,807.0
2680,16815,0.005408338999999429,807.0
2690,16816,0.005423623999999433,807.0
2700,16817,0.005439183999999431,807.0
2710,16818,0.005455059999999429,807.0
2720,16819,0.005473055999999449,807.0
2730,16820,0.005488463999999471,807.0
2740,16821,0.005504196999999461,807.0
2750,16822,0.005519975999999482,807.0
2760,16823,0.0055404489999994755,807.0
2770,16824,0.005556659999999464,807.0
2780,16825,0.005572714999999451,807.0
2790,16826,0.005589222999999449,807.0
2800,16827,0.005604620999999449,807.0
2810,16828,0.005620074999999447,807.0
2820,16829,0.005635461999999453,807.0
2830,16830,0.00565095099999946,807.0
2840,16831,0.005666657999999464,807.0
2850,16832,0.005684787999999469,807.0
2860,16833,0.005700346999999467,807.0
2870,16834,0.0057159509999994695,807.0
2880,16835,0.00573178499999949,807.0
2890,16836,0.005748209999999476,807.0
2900,16837,0.005763974999999477,807.0
2910,16838,0.005780537999999474,807.0
2920,16839,0.005796216999999465,807.0
2930,16840,0.00581141399999946,807.0
2940,16841,0.005826797999999439,807.0
2950,16842,0.005842165999999455,807.0
2960,16843,0.00585800899999947,807.0
2970,16844,0.0058763809999994865,807.0
2980,16845,0.005891944999999482,807.0
2990,16846,0.005907420999999469,807.0
3000,16847,0.005923061999999452,807.0
3010,16848,0.00593849599999946,807.0
3020,16849,0.005954358999999465,807.0
3030,16850,0.005970788999999477,807.0
3040,16851,0.005986293999999476,807.0
3050,16852,0.006001583999999477,807.0
3060,16853,0.006017056999999465,807.0
3070,16854,0.006032574999999457,807.0
3080,16855,0.006047849999999466,807.0
3090,16856,0.0060651789999994765,807.0
3100,16857,0.006080494999999464,807.0
3110,16858,0.0060965769999994646,807.0
3120,16859,0.006112462999999457,807.0
3130,16860,0.006127991999999444,807.0
3140,16861,0.006143464999999432,807.0
3150,16862,0.006158786999999416,807.0
3160,16863,0.00617475699999942,807.0
3170,16864,0.006190277999999438,807.0
3180,16865,0.006205797999999457,807.0
3190,16866,0.006222142999999458,807.0
3200,16867,0.006238205999999441,807.0
3210,16868,0.006253965999999445,807.0
3220,16869,0.0062716819999994455,807.0
3230,16870,0.006287513999999439,807.0
3240,16871,0.0063032739999994425,807.0
3250,16872,0.006319444999999424,807.0
3260,16873,0.006335020999999441,807.0
3270,16874,0.0063510339999994225,807.0
3280,16875,0.006367126999999417,807.0
3290,16876,0.006382502999999429,807.0
3300,16877,0.006397813999999419,807.0
3310,16878,0.006413205999999422,807.0
3320,16879,0.00642855499999942,807.0
3330,16880,0.006443748999999416,807.0
3340,16881,0.0064611129999994354,807.0
3350,16882,0.0064771979999994345,807.0
3360,16883,0.006493009999999438,807.0
3370,16884,0.0065085389999994525,807.0
3380,16885,0.006524364999999449,807.0
3390,16886,0.006541187999999448,807.0
3400,16887,0.006556658999999437,807.0
3410,16888,0.006572845999999438,807.0
3420,16889,0.006588348999999438,807.0
3430,16890,0.006603999999999444,807.0
3440,16891,0.006619554999999444,807.0
3450,16892,0.006635220999999442,807.0
3460,16893,0.0066506359999994324,807.0
3470,16894,0.008812133999999416,807.0
3480,16895,0.008829293999999432,807.0
3490,16896,0.008846035999999446,807.0
3500,16897,0.008861742999999422,807.0
3510,16898,0.008877171999999434,807.0
3520,16899,0.008893339999999417,807.0
3530,16900,0.00890981999999943,807.0
3540,16901,0.008925330999999426,807.0
3550,16902,0.008940435999999413,807.0
3560,16903,0.00895582199999942,807.0
3570,16904,0.008971295999999407,807.0
3580,16905,0.008987010999999406,807.0
3590,16906,0.009005433999999396,807.0
3600,16907,0.009021094999999396,807.0
3610,16908,0.009036671999999385,807.0
3620,16909,0.009052576999999395,807.0
3630,16910,0.009069033999999393,807.0
3640,16911,0.00908496599999939,807.0
3650,16912,0.009101249999999395,807.0
3660,16913,0.009116535999999398,807.0
3670,16914,0.009131742999999415,807.0
3680,16915,0.009148189999999418,807.0
3690,16916,0.009163376999999417,807.0
3700,16917,0.009179340999999425,807.0
3710,16918,0.009197073999999417,807.0
3720,16919,0.009220010999999417,807.0
3730,16920,0.009252257999999403,807.0
3740,16921,0.009268376999999411,807.0
3750,16922,0.009283995999999406,807.0
3760,16923,0.00929991399999941,807.0
3770,16924,0.009315384999999399,807.0
3780,16925,0.009332295999999407,807.0
3790,16926,0.00934784599999941,807.0
3800,16927,0.009364036999999409,807.0
3810,16928,0.009380131999999403,807.0
3820,16929,0.009395424999999402,807.0
3830,16930,0.009411159999999419,807.0
3840,16931,0.009429065999999403,807.0
3850,16932,0.009444578999999398,807.0
3860,16933,0.009460230999999403,807.0
3870,16934,0.00947625299999938,807.0
3880,16935,0.009492142999999398,807.0
3890,16936,0.00950829299999939,807.0
3900,16937,0.009524739999999393,807.0
3910,16938,0.00954109199999939,807.0
3920,16939,0.00955638599999939,807.0
3930,16940,0.009571949999999385,807.0
3940,16941,0.00958761999999938,807.0
3950,16942,0.009603816999999376,807.0
3960,16943,0.009621330999999372,807.0
3970,16944,0.00963703199999938,807.0
3980,16945,0.009652598999999373,807.0
3990,16946,0.009668416999999374,807.0
4000,16947,0.009684228999999378,807.0
4010,16948,0.009699982999999385,807.0
4020,16949,0.009715664999999374,807.0
4030,16950,0.009731877999999361,807.0
4040,16951,0.009747759999999356,807.0
4050,16952,0.00976318199999937,807.0
4060,16953,0.009778937999999349,807.0
4070,16954,0.009794572999999335,807.0
4080,16955,0.009810026999999333,807.0
4090,16956,0.009827190999999347,807.0
4100,16957,0.009843341999999339,807.0
4110,16958,0.009859252999999318,807.0
4120,16959,0.009875756999999319,807.0
4130,16960,0.009898263999999324,807.0
4140,16961,0.009914339999999328,807.0
4150,16962,0.009931183999999343,807.0
4160,16963,0.009946730999999348,807.0
4170,16964,0.009962668999999369,807.0
4180,16965,0.009978860999999367,807.0
4190,16966,0.009994130999999351,807.0
4200,16967,0.010010405999999361,807.0
4210,16968,0.01004225699999936,807.0
4220,16969,0.010059928999999357,807.0
4230,16970,0.010075849999999359,807.0
4240,16971,0.01009145699999936,807.0
4250,16972,0.010107119999999359,807.0
4260,16973,0.010123067999999347,807.0
4270,16974,0.010139676999999347,807.0
4280,16975,0.01015485999999935,807.0
4290,16976,0.010170372999999344,807.0
4300,16977,0.010186060999999358,807.0
4310,16978,0.010201817999999363,807.0
4320,16979,0.010217409999999344,807.0
4330,16980,0.010235256999999331,807.0
4340,16981,0.010250818999999328,807.0
4350,16982,0.010266496999999347,807.0
4360,16983,0.010282340999999334,807.0
4370,16984,0.010297859999999326,807.0
4380,16985,0.010314200999999329,807.0
4390,16986,0.010329873999999323,807.0
4400,16987,0.01034613999999931,807.0
4410,16988,0.010361981999999298,807.0
4420,16989,0.010377953999999301,807.0
4430,16990,0.010394018999999283,807.0
4440,16991,0.01040982399999929,807.0
4450,16992,0.010425472999999297,807.0
4460,16993,0.0104430259999993,807.0
4470,16994,0.010459013999999323,807.0
4480,16995,0.01047446899999932,807.0
4490,16996,0.010490913999999324,807.0
4500,16997,0.010506973999999308,807.0
4510,16998,0.010523256999999314,807.0
4520,16999,0.01053892599999931,807.0
4530,17000,0.010554748999999308,807.0
4540,17001,0.010569881999999309,807.0
